"1832","14","Dombivli West"
"1833","11","Jogeshwari East"
"1834","11","Jogeshwari West"
"1835","14","Kalyan East"
"1836","14","Kalyan West"
"1837","11","Khar East"
"1838","11","Khar West"
"1839","12","Kurla East"
"1840","12","Kurla West"
"1841","14","Mira Road East"
"1842","14","Thane East"
"1843","14","Thane West"
"1844","14","Vasai East"
"1845","14","Vasai West"
"1846","12","Vikhroli East"
"1847","12","Vikhroli West"
"1848","35","Ambegaon"
"1849","34","Lonavala"
"1850","36","Mulshi"
"1851","95","Bapunagar"
"1852","94","Ellis Bridge"
"1853","94","Lal Darwaja"
"1854","94","Law Garden"
"1855","94","Navrangpura"
"1856","94","Paldi"
"1857","95","Bhadra"
"1858","95","Hansol"
"1859","94","Kalupur"
"1860","95","Kankaria"
"1861","95","Khanpur"
"1862","95","Maninagar"
"1863","95","Raipur"
"1864","95","Rakhial"
"1865","95","Shahibaug"
